[2020-07-20 06:52:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 06:52:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 06:52:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-754985216]
[2020-07-20 06:52:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-746592512]
[2020-07-20 06:54:16] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 06:54:17] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 06:54:17] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1040206080]
[2020-07-20 06:54:17] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1048598784]
[2020-07-20 06:56:49] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 06:56:51] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 06:56:51] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1744832768]
[2020-07-20 06:56:51] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1753225472]
[2020-07-20 07:06:19] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 07:06:20] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 07:06:20] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1954552064]
[2020-07-20 07:06:20] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1962944768]
[2020-07-20 07:08:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 07:08:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 07:08:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1249925376]
[2020-07-20 07:08:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1258318080]
[2020-07-20 07:09:40] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 07:09:41] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 07:09:41] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1936804096]
[2020-07-20 07:09:41] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2013268224]
[2020-07-20 07:10:02] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 07:10:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 07:10:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1233102592]
[2020-07-20 07:10:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1224709888]
[2020-07-20 07:10:32] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
